X,Y,OBJECTID_1,OBJECTID,SCHID,NAME,ADDRESS,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE
-71.105143153835641,42.327675744783583,85,163,5300,Roxbury Prep - Mission Hill,120 Fisher Avenue,Roxbury,BOSTON,MA,02120,Dana Lehman,617-566-2361,617-566-2373,"6,7,8",CHA
-71.058717101118404,42.301402641896985,86,153,5470,Helen Davis Leadership Academy Charter Public School,23 Leonard Street,Boston,BOSTON,MA,02122,Karmala Sherwood,617-474-7950,617-474-7957,"6,7,8",CHA
-71.130150211406132,42.306592993626374,87,1100,00350950,British School of Boston,416-420 Pond Street,Jamaica Plain,BOSTON,MA,02130,Bruce Robinson,617-522-2261,617-522-0385,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",PRI
-71.095739380016127,42.349346445188203,88,206,05230001,EDCO Collaborative - EDCO YOUTH ALT,"650 Beacon St , 3rd Floor",Boston,BOSTON,MA,02215, ,617-262-9562,617-262-0098, ,COP
-71.132131943137097,42.24427045976492,89,134,5600,Academy Of the Pacific Rim Charter Public School,1 Westinghouse Plaza,Hyde Park,BOSTON,MA,02136,Jenne Colasacco,617-361-0050,617-361-0045,"5,6,7,8,9,10,11,12",CHA
-71.060871549790008,42.321639754160628,90,136,5500,Boston Collegiate Charter School (Middle and High School),11 Mayhew Street,Dorchester,BOSTON,MA,02125,Tobey Jackson,617-265-1172,617-265-1176,"5,6,7,8,9,10,11,12",CHA
-71.109908047782213,42.262227558231281,91,137,5520,Boston Preparatory Charter Public School,885 River Street,Hyde Park,BOSTON,MA,02136,Amanda Colley,617-333-6688,617-333-6689,"6,7,8,9,10",CHA
-71.126822353768148,42.250376335082777,92,138,5400,Boston Renaissance Charter Public School,1415 Hyde Park Avenue,Hyde Park,BOSTON,MA,02136,Roger Harris,617-357-0900,617-338-2647,"K,1,2,3,4,5,6",CHA
-71.071931183971202,42.289448323888514,93,143,5440,Codman Academy Charter Public School,637 Washington Street,Dorchester,BOSTON,MA,02124,Thabiti Brown,617-287-0700,617-287-9064,"9,10,11,12",CHA
-71.1220041750056,42.281698595047111,95,149,5450,Edward Brooke Charter School - Roslindale,190 Cummins Highway,Roslindale,BOSTON,MA,02131,Jon Clark,617-325-7977,617-325-2260,"K,1,2,3,5,6,7,8",CHA
-71.018670853604831,42.382792993268083,96,151,5490,Excel Academy Charter School - East Boston,58 Moore St.,East Boston,BOSTON,MA,02128,Komal Bhasin,617-561-1371,617-561-1378,"5,6,7,8",CHA
-71.12098465017101,42.352158016349129,97,157,5431,MATCH Charter Public High School,1001 Commonwealth Avenue,Boston,BOSTON,MA,02215,Jorge Miranda,617-232-0300,617-232-2838,"9,10,11,12",CHA
-71.053471970333845,42.293344261607544,98,159,5700,Neighborhood House Charter School,21 Queen Street,Dorchester,BOSTON,MA,02122,Kevin Andrews,617-825-0703,617-825-1829,"PK,K,1,2,3,4,5,6,7,8",CHA
-71.068847827545412,42.341110184631596,99,166,8027,Cathedral High,74 Union Park,Boston,BOSTON,MA,02118,Christol Murch,617-542-2325,617-542-1745,"9,10,11,12",PRI
-71.072045511088945,42.358355967196147,100,1521,00350702,The Advent School,15 Brimmer Street,Boston,BOSTON,MA,02108,Nicole A. DuFauchard,617-742-0520,--,"K,1,2,3,4,5,6",PRI
-71.0528619749265,42.36388729104435,101,186,8168,St John Elementary,9 Moon,Boston,BOSTON,MA,02113,Karen McLaughlin,617-227-3143,617-227-2188,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.08771498626551,42.282657210298964,102,1128,00350705,Berea SDA Academy,800 Morton St.,Mattapan,BOSTON,MA,02126,Grafton Jones,617-436-8301,617-436-8304,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.067174312430524,42.274440635548906,103,178,8081,Pope John Paul II Academy (Lower MIlls),2200 Dorchester Avenue,Dorchester,BOSTON,MA,02124,George Milot,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.092221984592101,42.270766771248368,104,179,8064,Pope John Paul II Academy (Mattapan),120 Babson,Mattapan,BOSTON,MA,02126,Kathleen Aldridge,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.049521469542015,42.290447712468826,105,180,8065,Pope John Paul II Academy (Neponset),239 Neponset Avenue,Dorchester,BOSTON,MA,02122,Kate Brandley,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.143855789093095,42.352360817470597,106,182,8103,Saint Joseph Preparatory High School,617 Cambridge,Brighton,BOSTON,MA,02135,Tom Nunan,617-254-8383,617-254-0240,"9,10,11,12",PRI
-71.029663893928813,42.336052743561922,107,183,8071,South Boston Catholic Academy,866 East Broadway,South Boston,BOSTON,MA,02127,Nancy Carr,617-268-2326,--,"PK,K,1,2,3,4,5",PRI
-71.078102761010527,42.352331187153688,110,1523,00350724,Commonwealth School,151 Commonwealth Avenue,Boston,BOSTON,MA,02116,William Wharton,617-266-7525,--,"9,10,11,12",PRI
-71.077245924197342,42.3535181347427,111,1524,00350765,The Learning Project,107 Marlborough Street,Boston,BOSTON,MA,02115,Michael Mccord,617-266-8427,--,"K,1,2,3,4,5,6",PRI
-71.082399855876162,42.352089748899928,112,1525,00350794,The Newman School,247 Marlborough Street,Boston,BOSTON,MA,02116,John Colahan,617-267-4530,617-267-7070,"9,10,11,12",PRI
-71.040060837842219,42.371537082961865,113,169,8034,E Boston Central Catholic,69 London,East Boston,BOSTON,MA,02128,Maryann Manfredonia,617-567-7456,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.100694999577911,42.310865003599382,114,1768,00350785,Neighborhood School,34 Peter Parley Rd,Jamaica Plain,BOSTON,MA,02130,Tricia Morrow,617-522-0880,--,"PK,K,1,2,3,4,5,6",PRI
-71.057778900565793,42.327710007498673,116,1770,00350882,St Mary Of Czestochowa,655 Dorchester Avenue,South Boston,BOSTON,MA,02127,Marie Laclaire,617-268-3766,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.093121608745676,42.32877567689976,117,1771,00350812,Paige Academy,28 Highland Avenue,Roxbury,BOSTON,MA,02119,Angela Cook,617-445-6969,--,"PK,K,1",PRI
-71.101727411552076,42.321556909511571,118,175,8588,Nativity Prep School,39 Lamartine Street,Jamaica Plain,BOSTON,MA,02130-0947,Dan Roy,857-728-0031,857-728-0037,"5,6,7,8",PRI
-71.100890526931266,42.333139238901964,119,174,,Mission Grammar School,94 St Alphonsus,Roxbury,BOSTON,MA,02120,Aliece Dutson,617-442-2660,--,"K,1,2,3,4,5,6,7,8",PRI
-71.12228117149786,42.278313366787302,120,181,8060,Sacred Heart Elementary,1035 Canterbury,Roslindale,BOSTON,MA,02131,Monica Haldiman,617-323-2500,617-325-7151,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.152987455190981,42.3524414583256,122,185,8077,St Columbkille Elem,25 Arlington Street,Brighton,BOSTON,MA,02135,Mary Battles,617-254-3110,617-254-3161,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.165780824513405,42.277700929720645,123,167,8028,Catholic Memorial,235 Baker Street,West Roxbury,BOSTON,MA,02132,Richard Chisholm,617-469-8000,617-325-0888,"7,8,9,10,11,12",PRI
-71.157088610698125,42.276125078898268,124,1851,00350808,Roxbury Latin School,101 St Theresa Avenue,West Roxbury,BOSTON,MA,02132,F Jarvis,617-325-4920,--,"7,8,9,10,11,12",PRI
-71.084394944383391,42.307499151682102,125,1883,00350778,Mother Caroline Academy,515 Blue Hill Avenue,Dorchester,BOSTON,MA,02121,Frances Butler,617-427-1177,617-427-7788,"5,6,7,8",PRI
-71.112024734866566,42.308242575988409,126,1885,00350740,Hollow Reed School,93 Sedgewick Street,Jamaica Plain,BOSTON,MA,02130,Khabria Brown,617-524-9004,--,"PK,K",PRI
-71.126641911550564,42.302303704423451,127,1886,00350749,Italian Home For Children,1125 Centre Street,Jamaica Plain,BOSTON,MA,02130,Jane A Zopatti,617-524-3116,617-983-5372,"1,2,3,4,5,6,7,8",SPE
-71.070940968395149,42.288342483377079,128,1887,00350947,Parkside Christian Academy,670 Washington Street,Dorchester,BOSTON,MA,02124,John Mallory,617-522-1841,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.121613709760197,42.257323148315145,129,1888,00350795,New Beginnings Academy,14 Everett Street,Hyde Park,BOSTON,MA,02136,Cynthia Schroder,617-364-6767,617-364-3383,"PK,K,1,2,3,4,5,6,10,12",PRI
-71.071716047581461,42.356404171910249,132,2246,00350805,Park Street School,67 Brimmer Street,Boston,BOSTON,MA,02108,Tracy Bradley,617-523-7577,617-523-7576,"K,1,2,3,4,7",PRI
-71.110049822294584,42.330978848436786,133,2304,00350768,Manville School,53 Parker Hill Ave,Boston,BOSTON,MA,02120,Hanna Savransky,617-232-8390,617-232-8399,"1,2,3,4,5,6,7,8,9,10,11",SPE
-71.053930621189679,42.3123143477046,134,168,8024,Cristo Rey Boston High School,100 Savin Hill Avenue,Dorchester,BOSTON,MA,02125,Elizabeth Degnan,617-825-2580,617-825-2613,"9,10,11,12",PRI
-71.154298333625292,42.347884278360979,135,1939,00350811,Shaloh House Jewish Day School,29 Chestnut Hill Avenue,Brighton,BOSTON,MA,02135,Don Rodkin,617-787-2200,617-787-4693,"PK,K,1,2,3,4",PRI
-71.148452660404061,42.288069679060314,136,172,8037,Holy Name Elementary,535 W Roxbury Pkwy,West Roxbury,BOSTON,MA,02132,Robert Arciero,617-325-9338,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.136979030027049,42.240142254504462,137,1943,00350824,St Anne Elementary,20 Como Rd,Hyde Park,BOSTON,MA,02136,Jane Trumpis,617-361-3563,--,"K,1,2,3,4,5,6,7,8",PRI
-71.157944242198909,42.278304108968875,138,188,8096,St Theresa Elementary,40 St Theresa Avenue,West Roxbury,BOSTON,MA,02132,Virginia Kelleher,617-323-1050,617-323-8118,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.051245322317456,42.281918397584022,140,184,8070,St Brendan Elementary,29 Rita Rd,Dorchester,BOSTON,MA,02124,Ida Ring,617-282-3388,--,"K,1,2,3,4,5,6,7,8",PRI
-71.039700184261136,42.333224209866145,142,2382,00350890,St Peter Academy,371 W Fourth Street,South Boston,BOSTON,MA,02127,David Romanosky,617-268-0750,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.066137460522427,42.292564717989741,144,2389,00350729,Epiphany School,154 Centre Street,Dorchester,BOSTON,MA,02124,John Finley,617-326-0425,617-326-0424,"5,6,7,8",PRI
-71.082219060727439,42.350298593858511,145,2426,00350760,The Kingsley Montessori School,30 Fairfield Street,Boston,BOSTON,MA,02116,Carole Forbes,617-226-4900,--,"PK,K,1,2,3,4,5,6",PRI
-71.107547195843878,42.34103155297646,146,2427,00350910,The Winsor School,103 Pilgrim Rd,Boston,BOSTON,MA,02215,Carolyn McClintock,617-735-9500,--,"5,6,7,8,9,10,11,12",PRI
-71.109791521191283,42.351028906694552,147,2445,00350813,Boston University Academy,1 University Road,Boston,BOSTON,MA,02215,James Berkman,617-353-9000,617-353-8999,"9,10,11,12",PRI
-71.142545185052896,42.349980946440603,148,2517,00350758,Kennedy Day School,"30 Warren St, c/o Franciscan Childrens Hospital",Brighton,BOSTON,MA,02135,Bonnie Paulino Lanen,617-254-3800,617-779-1639,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",SPE
-71.04564148342476,42.316743131371723,149,165,8023,Boston College High,150 Morrissey Blvd,Dorchester,BOSTON,MA,02125,Stephen Hughes,617-474-5010,617-474-5015,"9,10,11,12",PRI
-71.128687058659693,42.259239076806203,150,2744,00460865,Boston Trinity Academy,17 Hale St.,Boston,BOSTON,MA,02136,Timothy Wiens,617-364-3700,617-364-3800,"6,7,8,9,10,11,12",PRI
-71.136105705996954,42.360409831255602,151,2745,00490855,German International School Boston,57 Holton Street,Allston,BOSTON,MA,02134,Christian Nitschke,617-783-2600,617-783-2605,"PK,K,1,2,3,4,5,6,7",PRI
-71.058004972195519,42.320558136402532,152,177,8089,Pope John Paul II Academy (Columbia Road),790 Columbia Road,Dorchester,BOSTON,MA,02125,Claire Sheridan,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.087636371299595,42.324025373314299,153,141,5100,City On A Hill Charter Public School - Circuit Street,58 Circuit Street,Roxbury,BOSTON,MA,02119,Cristin Berry,617-445-1515,617-445-9153,"9,10,11,12",CHA
-71.080192518766012,42.2849246358832,154,2761,00350872,St Matthew Elementary,33 Stanton Street,Dorchester,BOSTON,MA,02124,Mary Lanata,617-825-7955,--,"PK,K,1,2,3,4,5,6,7,8",PRI
-71.111677882044589,42.32705014162584,155,2764,00350791,The Knight Children's Center,161 South Huntington Ave,Jamaica Plain,BOSTON,MA,02130,Pamela M Nolan,617-264-5349,617-232-7925,"2,3,4,5,6,7,8,9",SPE
-71.126723012228226,42.286989098947657,156,2767,00350720,Children's Learning Academy,6 Basile Street,Roslindale,BOSTON,MA,02131,Francis Campbell,617-327-2538,--,"PK,K,1,2,3,4,5,6",PRI
-71.052417566931425,42.318827383845779,157,135,5501,Boston Collegiate Charter School (Lower School),215 Sydney Street,Dorchester,BOSTON,MA,02125, , , , ,CHA
-71.106681830441062,42.261642588592892,158,156,5432,MATCH Charter Community Day School,100 Poydras Street,Mattapan,BOSTON,MA,02126, ,617-983-0300 ,617-983-0332,"PK, K, 1, 2, 3, 4",CHA
-71.103767369569653,42.30511277956014,160,158,5430,MATCH Charter Public Middle School,215 Forest Hills St.,Jamaica Plain,BOSTON,MA,02130, ,857-203-9668,857-203-9666,"5,6,7,8",CHA
-71.092495443052684,42.294829762393377,163,148,5451,Edward Brooke Charter School - Mattapan,150 American Legion Highway,Dorchester,BOSTON,MA,02124, , , , ,CHA
-71.07364952921813,42.311368283801187,165,160,5302,Roxbury Prep - Dorchester,206 Magnolia St.,Dorchester,BOSTON,MA,02121,Dana Lehman,617-858-2300,617-275-5760,"6,7,8",CHA
-71.016237265263044,42.382733951799828,166,147,5452,Edward Brooke Charter School - East Boston,94 Horace Street,East Boston,BOSTON,MA,02128, , , , ,CHA
-70.999452543852868,42.384368287348813,167,152,5491,Excel Academy Charter School - Orient Heights,1150 Saratoga St.,East Boston,BOSTON,MA,02124, , , , ,CHA
-71.082702782805526,42.331618932424789,168,142,5101,City On A Hill Charter Public School - Dudley Square,2179 Washington Street,Roxbury,BOSTON,MA,02119,Sonya Pratt,617-516-5888,617-445-9153,"9,10,11,12",CHA
-71.065981113643616,42.276877230495153,169,145,5200,Conservatory Lab Charter School - Dorchester,2120 Dorchester Avenue,Dorchester,BOSTON,MA,02124,Robyn Pretlow,617-254-8904,617-254-8909,"3, 4, 5, 6, 7, 8",CHA
-71.070837630153449,42.295558171136257,170,162,5301,Roxbury Prep - Lucy Stone,22 Regina Road,Dorchester,BOSTON,MA,02124,Dana Lehman,617-979-0115,617-822-7527,"6,7,8",CHA
-71.093132739495005,42.329825609705807,172,164,5800,Youth Build Boston,27 Centre Street,Roxbury,BOSTON,MA,02119, , , , ,CHA
-71.083396711693766,42.316818299535271,573,139,5541,Bridge Boston Charter School ,435 Warren Street,Roxbury,BOSTON,MA,02119,Jennifer Daly,857-229-1601,617-674-0861," K, 1, 2, 3, 4",CHA
-71.035815590924798,42.339268705837767,973,150,5492,Excel Academy Charter High School,7 Elkins Street,South Boston,BOSTON,MA,02127,Nina Keough,617-874-4143,--,"9, 10, 11, 12",CHA
-71.092766889534786,42.275016972248928,974,154,5481,KIPP Academy Boston,37 Babson Street,Mattapan,BOSTON,MA,02126,Emily Hepler,617-238-7300,617-652-7461,"K,1,2,3,4,5,6,7,8",CHA
-71.114541097290157,42.295067072815719,975,161,5303,Roxbury Prep - High School,86 Wachusett Street,Jamaica Plain,BOSTON,MA,02130,Shradha m Patel,--,--,"9,10,11,12",CHA
-71.066840217798955,42.274875116893597,1373,170,8662,Elizabeth Seton Academy,2220 Dorchester Ave,Dorchester,BOSTON,MA,02124,Patricia Leitsinger,617-296-1087,--,"9,10,11,12",PRI
-71.061590369773185,42.373793777604874,1374,171,,Good Shepherd School,20 Winthrop Street,Charlestown,BOSTON,MA,02129,Nicolette Clifford,617-242-8800,617-242-0016,PK,PRI
-71.047232838872944,42.334936453602758,1375,173,,Julie's Family Learning Program,133 Dorchester Street,South Boston,BOSTON,MA,02127,Robert Monahan,617-269-6663,--,"PK, K",PRI
-71.046258711183057,42.318801362129335,1376,176,8642,Notre Dame Montessori,265 Mt. Vernon Street,Dorchester,BOSTON,MA,02125, ,--,--, ,PRI
-71.076222352308704,42.324920482331905,1377,187,8337,St Patrick Elementary,131 Mt. Pleasant Ave,Roxbury,BOSTON,MA,02119,Mary Lanata,617-427-3881,617-427-4529,"PK,K,1,2,3,4,5,6,7,8",PRI
